name,cls,file,line,refs
ringSpoofStart,,ho/G2_Ring.cpp,1151,2
ringSpoofStop,,ho/G2_Ring.cpp,1169,2
cmd_ringstatus,,ho/G2_Ring.cpp,1180,2
cmd_ringconnect,,ho/G2_Ring.cpp,1211,2
cmd_ringdisconnect,,ho/G2_Ring.cpp,1232,2
cmd_ringverbose,,ho/G2_Ring.cpp,1238,2
cmd_ringscan,,ho/G2_Ring.cpp,1254,2
cmd_ringquery,,ho/G2_Ring.cpp,1295,2
ringBridgeHeartbeatBody,,ho/G2_Ring.cpp,1590,2
ringBridgeHeartbeatStart,,ho/G2_Ring.cpp,1615,2
ringBridgeHeartbeatStop,,ho/G2_Ring.cpp,1630,2
pdmStartLocked,,ho/HAL_Audio.cpp,40,2
pdmStopLocked,,ho/HAL_Audio.cpp,101,2
audioSetSource,,ho/HAL_Audio.cpp,112,2
displayDim,,ho/HAL_Display.cpp,186,2
displaySetBrightness,,ho/HAL_Display.cpp,205,2
inputGetControllerType,,ho/HAL_Input.cpp,135,2
inputSetControllerType,,ho/HAL_Input.cpp,139,2
inputSetCustomButtonMapping,,ho/HAL_Input.cpp,179,2
inputGetCustomButtonMapping,,ho/HAL_Input.cpp,187,2
inputDeviceLabel,,ho/HAL_Input.cpp,248,2
cmd_openinput,,ho/HAL_Input.cpp,260,2
cmd_closeinput,,ho/HAL_Input.cpp,266,2
cmd_inputautostart,,ho/HAL_Input.cpp,273,2
cmd_inputdevicepollms,,ho/HAL_Input.cpp,291,2
stripANSICSI,,ho/HardwareOne.cpp,458,2
printToSerial,,ho/HardwareOne.cpp,490,2
broadcastWithOrigin,,ho/HardwareOne.cpp,527,2
originFrom,,ho/HardwareOne.cpp,663,2
loopHealthTick,,ho/HardwareOne.cpp,974,2
powerSaveInhibited,,ho/HardwareOne.cpp,1910,2
powerSaveTick,,ho/HardwareOne.cpp,1922,2
oledEspNowMsgVisibleRows,,ho/OLED_ESPNow.cpp,63,2
rebuildRoomList,,ho/OLED_ESPNow.cpp,396,2
rebuildRoomDeviceList,,ho/OLED_ESPNow.cpp,431,2
oledEspNowGetMainMenuItemCount,,ho/OLED_ESPNow.cpp,614,2
compareByName,,ho/OLED_ESPNow.cpp,1256,2
compareByRoom,,ho/OLED_ESPNow.cpp,1263,2
compareByStatus,,ho/OLED_ESPNow.cpp,1278,2
oledEspNowFormatMac,,ho/OLED_ESPNow.cpp,1510,2
oledEspNowValidateDevicePtr,,ho/OLED_ESPNow.cpp,1566,2
oledEspNowOpenSettings,,ho/OLED_ESPNow.cpp,1814,2
oledEspNowSendBrowseRequest,,ho/OLED_ESPNow.cpp,2268,2
oledEspNowDisplayRemoteFiles,,ho/OLED_ESPNow.cpp,2283,2
oledEspNowHandleRemoteFilesInput,,ho/OLED_ESPNow.cpp,2340,2
storeRemoteFileBrowseResult,,ho/OLED_ESPNow.cpp,2369,2
getOLEDYesNoPrompt,,ho/OLED_FirstTimeSetup.cpp,206,2
renderBounceAnimation,,ho/OLED_Mode_Animations.cpp,47,2
renderWaveAnimation,,ho/OLED_Mode_Animations.cpp,70,2
renderSpinnerAnimation,,ho/OLED_Mode_Animations.cpp,86,2
renderMatrixAnimation,,ho/OLED_Mode_Animations.cpp,102,2
renderStarfieldAnimation,,ho/OLED_Mode_Animations.cpp,127,2
renderPlasmaAnimation,,ho/OLED_Mode_Animations.cpp,157,2
renderFireAnimation,,ho/OLED_Mode_Animations.cpp,171,2
renderGameOfLifeAnimation,,ho/OLED_Mode_Animations.cpp,206,2
renderRadarAnimation,,ho/OLED_Mode_Animations.cpp,254,2
renderWaveformAnimation,,ho/OLED_Mode_Animations.cpp,287,2
renderScrollTestAnimation,,ho/OLED_Mode_Animations.cpp,307,2
renderBootProgressAnimation,,ho/OLED_Mode_Animations.cpp,421,2
animationOnEnter,,ho/OLED_Mode_Animations.cpp,503,2
displayLoginMode,,ho/OLED_Mode_Auth.cpp,43,2
handleLoginModeInput,,ho/OLED_Mode_Auth.cpp,135,2
isLoginModeAvailable,,ho/OLED_Mode_Auth.cpp,257,2
displayLogoutMode,,ho/OLED_Mode_Auth.cpp,270,2
handleLogoutModeInput,,ho/OLED_Mode_Auth.cpp,319,2
isLogoutModeAvailable,,ho/OLED_Mode_Auth.cpp,367,2
extractBool,,ho/OLED_Mode_Automations.cpp,82,2
populateBtMenu,,ho/OLED_Mode_Bluetooth.cpp,69,2
displayBluetoothStatusDetail,,ho/OLED_Mode_Bluetooth.cpp,91,2
displayBluetoothStatus,,ho/OLED_Mode_Bluetooth.cpp,181,2
bluetoothInputHandler,,ho/OLED_Mode_Bluetooth.cpp,226,2
populateG2Menu,,ho/OLED_Mode_Bluetooth.cpp,284,2
displayG2Menu,,ho/OLED_Mode_Bluetooth.cpp,296,2
g2InputHandler,,ho/OLED_Mode_Bluetooth.cpp,331,2
displayG2StatusDetail,,ho/OLED_Mode_Bluetooth.cpp,361,2
bluetoothOLEDModeAvailable,,ho/OLED_Mode_Bluetooth.cpp,389,2
resetCLIViewerState,,ho/OLED_Mode_CLI.cpp,45,2
displayCLIViewer,,ho/OLED_Mode_CLI.cpp,54,2
handleCLIViewerInput,,ho/OLED_Mode_CLI.cpp,198,2
isCLIViewerAvailable,,ho/OLED_Mode_CLI.cpp,315,2
cliViewerOnEnter,,ho/OLED_Mode_CLI.cpp,327,2
displayCLIInput,,ho/OLED_Mode_CLIInput.cpp,42,2
handleCLIInputInput,,ho/OLED_Mode_CLIInput.cpp,97,2
isCLIInputAvailable,,ho/OLED_Mode_CLIInput.cpp,149,2
resetCLIInputState,,ho/OLED_Mode_CLIInput.cpp,161,2
cliInputOnEnter,,ho/OLED_Mode_CLIInput.cpp,176,2
displayChangePasswordMode,,ho/OLED_Mode_ChangePassword.cpp,43,2
handleChangePasswordModeInput,,ho/OLED_Mode_ChangePassword.cpp,183,2
isChangePasswordModeAvailable,,ho/OLED_Mode_ChangePassword.cpp,344,2
oledFileBrowserAuthContext,,ho/OLED_Mode_FileBrowser.cpp,48,2
sourceRootPath,,ho/OLED_Mode_FileBrowser.cpp,218,2
ensurePeerCache,,ho/OLED_Mode_FileBrowser.cpp,333,2
peerNavigateTo,,ho/OLED_Mode_FileBrowser.cpp,377,2
onEspnowGetAck,,ho/OLED_Mode_FileBrowser.cpp,389,2
